Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",3.8,40,18357,599,999
Jon Men's Cotton Vest (Pack of 5),4.1,30,13258,343,490
Day & Date Analog Wrist Watch for Men & Boys (Black),3.6,85,3083,299,1999
(Pack Of 3) Trending Alloy Metal Finger Ring Set With Black Cuboid Rectangle Neck Pendant For Boys And Men,4.2,79,63,279,1299
Men's Leather Belt,3.9,75,4243,499,2000
Bombay Brown Leather Men's Leather Wallet(WH2055 Bombay Brown),4.1,80,3580,299,1499
Men's Ankle Length Cotton Socks (Pack Of 6 Pairs) (SAT-99_Multicolour),3.9,67,4452,329,999
"Kuber Industries Cotton Premium Collection Handkerchief|Easy Wash & Premium Cotton Fabric|Size 42 x 42 CM, Pack of 6 (Multicolour)",3.8,82,1294,146,798
Flat Pure Nepaliya Copper Kada for Astrology Ayurved Free Size for Men (Brown),4.4,16,966,421,500
Men's Flip Flops Thong Slippers,3.9,25,44287,298,399
Stag RFID Blocking Black/Red Leather Wallet for Men,4.3,76,1685,479,2000
Men's Socks (Pack of 3) (Colors May Vary) (8901326039151_7036-0310- Assorted FREE SIZE),4.1,26,4854,370,499
"Boldfit Helmet Skull Caps for Men Bike Cotton Head Caps for Men Hair Inner Helmet Cover Cap for Bikers Sweat Cooling Skull Cap for Cycling, Motorcycle, Running Helmet Cap for Men - Black Pack of 1",4.2,15,225,169,199
Jewellery Stainless Steel Ring Combo for Boys and Men,3.9,81,975,189,999
Analogue Black Dial Men's Watch & Wayfarer Sunglasses Combo for Men |Gift Combo Set for Men & Boys (CM-103SN),3.6,88,1865,249,1999
mens Ss0101g Sandals,4.3,27,22437,619,849
Men's Stella Brown Genuine Leather RFID Blocking Wallet,4.2,77,10805,499,2199
"6 PCs Mixed Multi-Layer Genuine Leather Bracelet, Handmade Adjustable Braided Leather Cuff Men & Women",3.8,75,85,245,999
LED Square Digital Watch for Boys & Girls - Black,2.7,90,317,99,999
Wildhorn India Matte Black Leather Men's RFID Wallet (WH1173),4.1,68,6832,480,1499
"Skudgear Gym Headband Men Women | Headbands for Long Hair | Headband Sports, Yoga, Cycling,Running | Head Wraps | Cloth Headband | Head Sweat Band, Hiking Headband, Headband for Mask Support (Black)",4.2,91,5568,184,1999
Silver Plated Chain For Boys Men Jewellery Stainless Steel Chain,5,90,1,99,999
Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1,4.1,86,445,283,1999
Rings for Men Trendy 316L Stainless Steel Black Band Ring for Men and Boys,4,80,1373,157,799
Men's Genuine Leather RFID Blocking Wallet (Brown),4.1,60,5443,996,2499
"Casual Lace Up Sneaker, Men Casual Shoes",3.5,50,8070,499,999
"Winter Socks for Men Thick Terry Towel Cushion Socks, Free Size, Pack of 4",4.2,37,4174,379,599
Brand - A taymex Digital Watch Shockproof Multi-Functional Automatic Black Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys - Watch for Men Pack of 1,4.2,86,613,283,1999
Men's Sport Sneakers Shoes,3,80,153,299,1499
High Polished Stainless Steel Kadaa Stylish Black Leather Bracelets for Men and Boys,3.8,81,928,255,1329
Analog Black Dial Men's Watch-SS-GR06612-BLK-CH,3.5,81,4069,379,1999
"Sherlock Blue Leather Wallet, Keyring & Pen Combo Gift Set for Men",4.2,73,1425,549,2000
Original Flat Knit Ankle Cotton Socks - 3 Pairs (6N) (AD-203),4.1,50,4340,299,597
Men SM-500 Black Golden Sports Shoes,4,29,484,749,1049
